title,artist,bpm,energy,danceability,acousticness,instrumentalness,mood,vocals,instrumentation,genre
Have Some Fun - Radio Mix,Deekline;Ed Solo;General Levy,175,0.963,0.611,0.00982,8.43e-05,balanced,pop vocals,guitar,breakbeat
I'm Good (Blue),David Guetta;Bebe Rexha,128,0.965,0.561,0.00383,7.07e-06,intense,pop vocals,guitar,dance
Too Long - Vip Mix,Stanton Warriors;Lily Mckenzie,130,0.923,0.674,0.00126,0.486,intense,pop vocals,guitar,breakbeat
On My Mind,Disciples,122,0.845,0.745,0.0826,3.31e-05,energetic,pop vocals,electronic,disco
Music Is My Alibi,Mark With a K,150,0.633,0.337,0.0905,0.0,balanced,pop vocals,bass,hardstyle
God Only Knows - Mono / 1997 Remastered,The Beach Boys,117,0.487,0.524,0.253,0.0,balanced,pop vocals,bass,psych-rock
Mr Schwartz,Arctic Monkeys,128,0.335,0.569,0.802,0.018,calm,soft vocals,acoustic,garage
BLOOD (Fabian Mazur Remix),KLOUD;Fabian Mazur,93,0.534,0.648,0.00704,0.0551,bright,pop vocals,bass,club
Christmas Time,Bryan Adams,77,0.582,0.503,0.472,0.0,dark,pop vocals,bass,songwriter
Zor II,Lil Zey,140,0.459,0.64,0.34,0.00962,dark,pop vocals,bass,turkish
Creo en Ti,Miguel Bosé,87,0.704,0.437,0.0181,0.000567,balanced,pop vocals,bass,spanish
Meio Psicopata,Matanza,92,0.995,0.399,5.8e-05,0.0,balanced,pop vocals,guitar,punk-rock
Aaro Nenjil - Desi Mix,Gowry Lekshmi,130,0.62,0.613,0.203,0.123,balanced,pop vocals,bass,malay
Reza Forte,BaianaSystem;BNegão,146,0.914,0.838,0.378,0.00398,energetic,pop vocals,electronic,afrobeat
You and I Both,Jason Mraz,99,0.812,0.615,0.184,0.0,energetic,pop vocals,guitar,acoustic
Night,White Noise for Babies,138,0.165,0.152,0.987,0.995,dark,instrumental,piano,sleep
Karnaval Festival Reünie - Ricardo Moreno and Mental Theo Remix,Immer Hansi;Mental Theo;Ricardo Moreno,175,0.978,0.506,0.0121,0.0,intense,pop vocals,guitar,hardstyle
Apologize,OneRepublic,118,0.74,0.593,0.363,2.22e-05,balanced,pop vocals,bass,piano
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN;Taylor Swift,118,0.445,0.731,0.0586,1.96e-05,dark,pop vocals,bass,dance
Kryptonite,3 Doors Down,99,0.848,0.544,0.00395,5.22e-05,balanced,pop vocals,guitar,alt-rock
Arcade,Andrew Foy;Renee Foy,144,0.266,0.408,0.875,0.000498,dark,soft vocals,acoustic,guitar
Cloud 9,Beach Bunny,81,0.929,0.637,0.00167,2.62e-05,energetic,pop vocals,guitar,indie
Into the Unknown,Idina Menzel;AURORA,145,0.405,0.323,0.849,0.000544,dark,pop vocals,acoustic,show-tunes
parents,YUNGBLUD,82,0.833,0.594,0.00967,0.0,balanced,pop vocals,guitar,british
All The Way Up,Deekline;Specimen A,174,0.945,0.759,0.0408,0.165,balanced,pop vocals,electronic,breakbeat
Tissues,YUNGBLUD,90,0.907,0.608,0.0118,0.0,energetic,pop vocals,guitar,british
"Comptine d'un autre été: l'Après-midi (from ""Amélie"")",Jacob's Piano,98,0.0764,0.479,0.988,0.918,dark,instrumental,piano,new-age
Sympathy For The Devil,The Rolling Stones,116,0.67,0.636,0.582,0.0,balanced,pop vocals,acoustic,british
Karıncalar,Hidra,90,0.538,0.728,0.129,0.0,dark,pop vocals,bass,turkish
Honky Tonkin',Hank Williams;Drifting Cowboys,165,0.414,0.537,0.831,1e-06,bright,pop vocals,acoustic,honky-tonk
Let Me Hear,"Fear, and Loathing in Las Vegas",184,0.995,0.175,0.000145,2.5e-06,intense,pop vocals,guitar,hardcore
Hé Suzie,De Doelleazen;Henk Wijngaard,175,0.95,0.634,0.0883,0.0435,balanced,pop vocals,guitar,happy
Buried in Hypocrisy,Evil Darkness,145,0.952,0.376,0.0282,0.913,balanced,instrumental,guitar,death-metal
Tacones Rojos,Kidz Bop Kids,123,0.748,0.7,0.00265,0.0,energetic,pop vocals,electronic,children
Qara Qız,Rashid Beibutov,124,0.181,0.567,0.991,0.00504,calm,soft vocals,acoustic,romance
Amárrame,Mon Laferte;Juanes,180,0.667,0.565,0.24,0.00166,energetic,pop vocals,bass,alternative
Loud Places,Jamie xx;Romy,109,0.63,0.646,0.00462,0.27,dark,pop vocals,bass,garage
Nas Is Like,Nas,94,0.845,0.634,0.00602,5.29e-06,energetic,rap vocals,guitar,hardcore
Si Te La Encuentras Por Ahí,Feid,172,0.569,0.736,0.144,5.27e-05,balanced,pop vocals,electronic,reggaeton
Speed Law,Mos Def,98,0.667,0.794,0.0565,0.0,energetic,rap vocals,electronic,hardcore
Bück dich,Rammstein,149,0.979,0.693,0.00655,0.291,energetic,pop vocals,guitar,industrial
Как ты красива сегодня,Kvatro,110,0.392,0.477,0.677,0.0,dark,soft vocals,acoustic,romance
O Come All Ye Faithful,Weezer,122,0.818,0.516,0.00701,0.0,energetic,pop vocals,guitar,power-pop
Rain for Sleep,Nature Sounds,94,0.94,0.313,0.00979,0.0,intense,pop vocals,guitar,sleep
Mamta Se Bhari,Bombay Jayashri,101,0.414,0.63,0.615,0.000329,balanced,pop vocals,acoustic,classical
感情電車,Shiritsu Ebisu Chugaku,175,0.89,0.512,0.056,0.00157,energetic,pop vocals,guitar,j-idol
Ova Dweet (Mixed),Popcaan,128,0.673,0.503,0.126,0.0,balanced,rap vocals,bass,dancehall
"Running Up That Hill - Epic Version (from ""Stranger Things)",Samuel Kim,108,0.718,0.488,0.00499,0.753,intense,instrumental,bass,anime
Human - Armin van Buuren Dub Remix,The Killers;Armin van Buuren;Benno De Goeij,135,0.821,0.64,0.00122,0.145,balanced,pop vocals,guitar,alt-rock
Reggae do Manero - Ao Vivo | Acústico,Raimundos,134,0.809,0.708,0.178,1.62e-06,balanced,pop vocals,electronic,punk-rock
Went to a Pub in Australia,Hype Duo,87,0.719,0.385,0.446,0.0,balanced,pop vocals,bass,comedy
Bye Bye,Marshmello;Juice WRLD,83,0.525,0.645,0.0574,0.0,dark,pop vocals,bass,edm
What Have I Done to Deserve This?,Pet Shop Boys;Dusty Springfield,118,0.875,0.711,0.128,0.00132,energetic,pop vocals,electronic,synth-pop
I Got Summer On My Mind,Jay Dunham,125,0.835,0.807,0.00148,0.527,intense,pop vocals,electronic,club
Last Kiss,Pearl Jam,112,0.692,0.622,0.363,0.000158,energetic,pop vocals,bass,grunge
6 Days,Mahmut Orhan;Colonel Bagshot,105,0.699,0.776,0.0293,0.195,intense,pop vocals,electronic,deep-house
Hypnotized - Joyhauser Remix,Amelie Lens;Joyhauser,131,0.859,0.635,0.00344,0.869,intense,instrumental,guitar,minimal-techno
Ritmo y Blues Con Armonicas,Ricardo Iorio,118,0.772,0.593,0.0208,1.09e-05,energetic,pop vocals,guitar,heavy-metal
Tu Jaane Na - Unplugged Version,Kailash Kher;Pritam,120,0.325,0.655,0.833,0.0,calm,soft vocals,acoustic,folk
Never Fold (feat. Sunny Malton),Sidhu Moose Wala;Sunny Malton,93,0.786,0.814,0.069,0.0,energetic,pop vocals,electronic,pop
"Всё, что было",Kvatro,76,0.588,0.306,0.495,0.0,balanced,pop vocals,bass,romance
What Do The Lonely Do At Christmas?,The Emotions,132,0.443,0.623,0.165,0.0,balanced,pop vocals,bass,disco
"God Rest Ye Merry, Gentlemen (Remastered 2014)",Traditional;Royal Philharmonic Orchestra,143,0.409,0.264,0.848,0.766,dark,instrumental,piano,sleep
Halloween,Siouxsie and the Banshees,172,0.91,0.223,0.0116,0.000518,balanced,pop vocals,guitar,punk
Por Você,Frejat,123,0.33,0.622,0.464,0.0,calm,soft vocals,bass,mpb
Christmas (Baby Please Come Home),The Offspring,128,0.878,0.437,0.0112,0.0,balanced,pop vocals,guitar,alt-rock
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach;The English Concert;Trevor Pinnock,176,0.0744,0.0923,0.651,0.000237,dark,soft vocals,acoustic,classical
Back To Me,Krakota;Fred V;Tudor,174,0.957,0.489,0.012,0.0768,intense,pop vocals,guitar,drum-and-bass
Youth,Glass Animals,96,0.718,0.648,0.129,0.00163,energetic,pop vocals,bass,indie-pop
Bombs Away (Throwback Cypher) [Sped up Version],dj Shawny,111,0.931,0.739,0.00152,0.891,energetic,instrumental,electronic,club
Dos Hojas Sin Rumbo,Julio Preciado Y Su Banda Perla Del Pacifico,120,0.39,0.782,0.369,0.00031,bright,soft vocals,bass,r-n-b
Halabi Abad,Saeed Dehghan;Dariush;REZ,100,0.795,0.605,0.0596,6.6e-06,intense,pop vocals,guitar,iranian
Ride That Wave - Original radio,DJ Frosty,134,0.927,0.743,0.526,1.6e-05,balanced,pop vocals,electronic,club
Aisi Raaton,Anupam Roy,176,0.443,0.517,0.88,0.000141,balanced,pop vocals,acoustic,indian
Ain't It Fun - Smash Mode Remix,Paramore;Smash Mode,124,0.884,0.68,0.000408,0.00304,energetic,pop vocals,guitar,emo
Ghar,Bharat Chauhan,156,0.174,0.483,0.944,0.0546,dark,soft vocals,acoustic,songwriter
Lights (feat. DJ Trashy),Tony Faline,135,0.455,0.771,0.000443,0.217,dark,pop vocals,bass,breakbeat
Aja,Jay Daniel,118,0.464,0.79,0.285,0.888,dark,instrumental,bass,detroit-techno
Deep Sleep Recovery Noise,Water Sound Natural White Noise,0,0.032,0.0,0.916,0.202,dark,soft vocals,acoustic,sleep
Busy Child,The Crystal Method,125,0.888,0.656,0.0153,0.0369,energetic,pop vocals,guitar,breakbeat
Bad Dreams - Nami Remix,Noisia;Nami,174,0.95,0.72,0.00293,0.653,balanced,instrumental,electronic,drum-and-bass
Sina,IVYSON;Templo Sonoro,128,0.347,0.703,0.593,1.54e-06,calm,soft vocals,acoustic,mpb
唯一 (三立/台視戲劇《戀愛是科學》插曲),告五人,141,0.103,0.485,0.959,5.32e-05,dark,soft vocals,acoustic,mandopop
Gomorrah,Lamb of God,147,0.99,0.483,0.00176,0.000958,intense,pop vocals,guitar,metalcore
Far From Home,Five Finger Death Punch,138,0.688,0.464,0.00149,3.85e-06,intense,pop vocals,bass,groove
US (feat. Raja Kumari),Sidhu Moose Wala;Raja Kumari,72,0.601,0.524,0.663,0.0,balanced,pop vocals,acoustic,hip-hop
Volantín,Chancho En Piedra,98,0.839,0.677,0.00279,1.12e-05,energetic,pop vocals,guitar,ska
"Ya Rabba (From ""Salaam-E-Ishq"")",Kailash Kher,144,0.414,0.648,0.26,1.72e-05,balanced,pop vocals,bass,folk
Madara (Death),Rustage;Shofu;Jhbboss,72,0.673,0.718,0.294,0.0,balanced,rap vocals,electronic,anime
天国のキッス,Seiko Matsuda,123,0.788,0.753,0.508,0.000305,energetic,pop vocals,electronic,j-idol
my type,brb.,90,0.578,0.69,0.167,0.000244,bright,pop vocals,bass,chill
Feliz Cumpleaños Ferxxo,Feid,95,0.573,0.865,0.0863,0.0,balanced,pop vocals,electronic,latino
Look To The Sky,Antônio Carlos Jobim,132,0.215,0.499,0.898,0.913,bright,instrumental,piano,brazil
Purple Snowflakes,Marvin Gaye,109,0.481,0.607,0.404,0.0,bright,pop vocals,bass,funk
Kadhalan,Havoc Mathan;Havoc Naven,95,0.725,0.737,0.668,0.0,balanced,pop vocals,acoustic,malay
I Feel Love - Monkey Safari Remix,DJ Pierre;Monkey Safari;Chic Loren,125,0.618,0.771,0.00783,0.916,dark,instrumental,electronic,chicago-house
Sun Lo Na (Raw),Suzonn,130,0.178,0.856,0.748,0.00593,calm,soft vocals,acoustic,songwriter
"Wenn nicht jetzt, wann dann?",Höhner,105,0.923,0.681,0.0729,0.0,energetic,pop vocals,guitar,party
Safe,itssvd;Shiloh Dynasty,115,0.461,0.608,0.828,0.00104,balanced,pop vocals,acoustic,sad
Fake Drop,The Sickest Squad;Andy the Core,200,0.834,0.482,0.00282,0.295,intense,pop vocals,guitar,happy
Disappearing Now,NURKO;Chandler Leighton,154,0.713,0.295,0.252,1.48e-06,intense,pop vocals,bass,dubstep
Clint Eastwood,Gorillaz,168,0.694,0.663,0.0253,0.0,balanced,pop vocals,bass,alternative
Barrio de Tango - En Vivo,Ariel Ardit;Orquesta Tipica,122,0.355,0.532,0.854,0.0,balanced,soft vocals,acoustic,tango
She's So Nice,Pink Guy,86,0.577,0.828,0.599,0.0,balanced,pop vocals,acoustic,comedy
My Pony,R3HAB,123,0.818,0.849,0.232,2.81e-05,energetic,pop vocals,electronic,progressive-house
Grayscale,Lamb of God,175,0.991,0.421,0.000916,0.0298,balanced,pop vocals,guitar,metalcore
Yesterday Girl,The Smithereens,125,0.884,0.654,0.0606,2.49e-06,energetic,pop vocals,guitar,power-pop
Delusions of Saviour,Slayer,168,0.805,0.223,0.000179,0.814,intense,instrumental,guitar,death-metal
Listen to Your Hardcore,The Prophet,175,0.85,0.596,0.0546,2.05e-05,intense,rap vocals,guitar,hardcore
Back To The Oldschool,The Viper;Endymion,155,0.989,0.638,0.286,0.0,intense,pop vocals,guitar,happy
Breaking Me,Topic;A7S,122,0.72,0.789,0.223,0.0,energetic,pop vocals,electronic,german
I Think It's Going To Rain Today - Live,Norah Jones,104,0.0825,0.461,0.984,3.06e-05,dark,soft vocals,acoustic,jazz
Shaky Shaky,Daddy Yankee,88,0.626,0.899,0.076,0.0,bright,pop vocals,electronic,latino
MIA,Bad Bunny;Drake,97,0.539,0.817,0.0141,0.000496,dark,pop vocals,bass,latin
Ocean,Anuv Jain,125,0.237,0.72,0.963,0.0,calm,soft vocals,acoustic,singer-songwriter
Pretty Savage,BLACKPINK,152,0.588,0.699,0.00807,0.000131,dark,pop vocals,bass,k-pop
"Polka, Polka, Polka - Club Mix",Brings,128,0.99,0.775,0.0103,0.000741,energetic,pop vocals,electronic,party
Revenge,XXXTENTACION,140,0.251,0.746,0.782,0.00203,dark,soft vocals,acoustic,emo
Alag Aasmaan (Acoustic),Anuv Jain,116,0.103,0.625,0.921,1.06e-06,bright,soft vocals,acoustic,songwriter
Depression & Obsession,XXXTENTACION,106,0.156,0.769,0.585,0.015,calm,soft vocals,acoustic,emo
Tape Space,Joyhauser,134,0.984,0.66,0.00138,0.908,intense,instrumental,guitar,techno
Give me a Shake,MAX,105,0.883,0.671,0.0882,0.0,balanced,pop vocals,guitar,j-idol
On Repeat,Robin Schulz;David Guetta,123,0.801,0.609,0.0246,0.00255,intense,pop vocals,guitar,house
Baller,Shubh;Ikky,180,0.702,0.711,0.00487,0.0163,energetic,pop vocals,electronic,hip-hop
Perfect Spot - Oh Gosh Remix,Busy Signal;Oh Gosh,95,0.792,0.862,0.188,0.00221,energetic,pop vocals,electronic,dancehall
Mujer Bruja,Lola Indigo;Mala Rodríguez,106,0.917,0.773,0.0946,0.000106,energetic,pop vocals,electronic,spanish
Sintoma De La Infeccion,Malon,141,0.902,0.385,0.000214,0.000115,balanced,pop vocals,guitar,heavy-metal
Me Dê Motivo,Criolo,132,0.623,0.864,0.452,0.00967,bright,pop vocals,electronic,afrobeat
Born This Way,Lady Gaga,124,0.835,0.586,0.00387,0.0,balanced,pop vocals,guitar,dance
Cóccix-ência,Criolo,164,0.903,0.564,0.0221,0.00198,balanced,pop vocals,guitar,afrobeat
Wind Of Change,Scorpions,152,0.63,0.429,0.078,0.0,dark,pop vocals,bass,metal
The Human Heart,Lea Salonga;Once On This Island Storytellers,72,0.24,0.389,0.89,0.000244,dark,soft vocals,acoustic,show-tunes
Letter to Jarad,LRN Slime;Shiloh Dynasty,122,0.0903,0.873,0.911,0.112,bright,soft vocals,acoustic,chill
Slipping Away,Dave Edmunds,130,0.924,0.583,0.042,0.00531,energetic,pop vocals,guitar,power-pop
What Christmas Means To Me,Stevie Wonder,82,0.614,0.524,0.202,0.0,bright,pop vocals,bass,funk
FRIENDS,Marshmello;Anne-Marie,95,0.88,0.626,0.205,0.0,balanced,pop vocals,guitar,edm
Secreto,Anuel AA;KAROL G,92,0.803,0.807,0.6,0.0085,energetic,pop vocals,acoustic,reggae
Party Girl,Busy Signal,102,0.717,0.832,0.0214,0.0,energetic,pop vocals,electronic,j-dance
Não vou duvidar,Marquinhos Gomes,138,0.782,0.646,0.634,0.0,balanced,pop vocals,acoustic,gospel
Cheri Cheri Lady,Modern Talking,114,0.616,0.677,0.458,0.0132,bright,pop vocals,bass,synth-pop
Croche,NTO,124,0.558,0.748,0.00175,0.913,dark,instrumental,electronic,minimal-techno
How To Roll A Blunt,Redman,184,0.66,0.644,0.121,2.96e-06,energetic,rap vocals,bass,hardcore
Doutora 3 - Ao Vivo,Grupo Presença,120,0.7,0.739,0.676,0.0,energetic,pop vocals,acoustic,pagode
L'Amour Toujours - Hardstyle Version,TCM,75,0.825,0.357,0.047,0.0,intense,pop vocals,guitar,hardstyle
Moon Over Memphis,Balsam Range,134,0.805,0.61,0.53,0.0204,energetic,pop vocals,guitar,bluegrass
Never Walk Alone - Live at Team Night,Hillsong Worship;TAYA,139,0.482,0.319,0.0418,0.0,dark,pop vocals,bass,world-music
Electric Slide - Dance Party Mix,Electric Slide DJ's,115,0.91,0.671,0.000567,0.0,balanced,pop vocals,guitar,kids
Blue Christmas,Andrea Bocelli;Reba McEntire,78,0.306,0.168,0.828,3.92e-06,dark,soft vocals,acoustic,opera
Zwei Gitarren,Ivan Rebroff,94,0.422,0.323,0.631,0.00194,balanced,pop vocals,acoustic,romance
Love Is Gone,SLANDER;Dylan Matthew,150,0.465,0.452,0.0589,0.000524,dark,pop vocals,bass,dubstep
É Dia de Beber de Novo,Iguinho e Lulinha,133,0.89,0.661,0.263,0.0,energetic,pop vocals,guitar,forro
Secreto,Anuel AA;KAROL G,92,0.803,0.807,0.6,0.0085,energetic,pop vocals,acoustic,latin
Let's Work Together,Canned Heat,119,0.703,0.748,0.114,1.39e-06,energetic,pop vocals,electronic,psych-rock
HUMANS - Far Out Remix,KLOUD;Far Out,92,0.741,0.416,0.0823,0.00146,intense,pop vocals,bass,club
4:00A.M.,Taeko Onuki,103,0.644,0.631,0.341,0.000411,bright,pop vocals,bass,anime
Betrayed,Lil Xan,120,0.434,0.821,0.434,0.0,dark,pop vocals,bass,emo
Xezer şefeqleri,Rashid Beibutov;Tofiq Quliyev;Üzeyir Hacibeyov,181,0.328,0.316,0.99,0.0147,calm,soft vocals,acoustic,romance
Sweet Child O' Mine,Guns N' Roses,125,0.91,0.454,0.0866,0.0996,balanced,pop vocals,guitar,hard-rock
Skandha Sashti Kavacham,Soolamangalam Sisters,117,0.351,0.677,0.838,0.0,bright,soft vocals,acoustic,classical
DorfDäpp - Xtreme Sound Remix,Micha von der Rampe;Xtreme Sound,135,0.985,0.641,0.0687,0.0,energetic,pop vocals,guitar,party
Halloween,Siouxsie and the Banshees,172,0.91,0.223,0.0116,0.000518,balanced,pop vocals,guitar,punk-rock
Jumping Stairs,Casper Loe,150,0.254,0.682,0.232,0.885,dark,instrumental,bass,study
Stop And Stare,OneRepublic,185,0.866,0.329,0.0724,0.0,intense,pop vocals,guitar,rock
你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲,Eric Chou,75,0.391,0.358,0.856,0.00232,dark,soft vocals,acoustic,mandopop
Culto Siniestro,Malon,142,0.886,0.362,5.52e-05,0.00191,balanced,pop vocals,guitar,heavy-metal
Last Last,Burna Boy,88,0.565,0.795,0.131,0.0,balanced,pop vocals,electronic,dancehall
Floated By,Peter Cat Recording Co.,92,0.286,0.729,0.283,0.0245,calm,soft vocals,bass,electronic
Roses Are Red (Violets Are Blue),Jon Caryl,178,0.287,0.446,0.48,0.0,dark,soft vocals,bass,sad
Fallen Blixkys,22Gz,143,0.566,0.888,0.13,0.0,balanced,rap vocals,electronic,r-n-b
Graca,Exaltasamba,86,0.739,0.615,0.633,0.0,energetic,pop vocals,acoustic,samba
Twisted World - The Viper Mashup mix - Edit Version,Tommyknocker;Sunbeam,158,0.965,0.49,0.0687,0.172,intense,rap vocals,guitar,happy
Time After Time - Live At Abbey Road Studios,Sam Smith,130,0.459,0.595,0.571,0.000165,dark,pop vocals,acoustic,dance
Solitude - Felsmann + Tiley Reinterpretation,M83;Felsmann + Tiley,122,0.202,0.367,0.668,0.145,dark,soft vocals,acoustic,french
X ÚLTIMA VEZ,Daddy Yankee;Bad Bunny,90,0.855,0.812,0.0789,0.000167,balanced,pop vocals,electronic,latino
tere bina - Acoustic,Zaeden;Jonita Gandhi,108,0.251,0.838,0.714,0.0,bright,soft vocals,acoustic,indie
Polly Put the Kettle On,CoComelon,111,0.294,0.973,0.184,0.0,bright,soft vocals,bass,children
The Middle,Zedd;Maren Morris;Grey,107,0.657,0.753,0.171,0.0,balanced,pop vocals,electronic,german
Temptation - Original Mix,The Viper;Korsakoff,160,0.963,0.566,0.132,4.57e-06,balanced,pop vocals,guitar,happy
Biltmore Hills,"Sarah, the Illstrumentalist",88,0.428,0.602,0.763,0.907,balanced,instrumental,piano,study
First Sip of Coffee,Jobii,136,0.426,0.694,0.402,0.919,balanced,instrumental,bass,study
Shout,Tears For Fears,98,0.98,0.503,0.199,1.12e-05,balanced,pop vocals,guitar,synth-pop
Yellow Paper Daisy,When Chai Met Toast,106,0.442,0.428,0.775,0.000132,bright,pop vocals,acoustic,indie
セノビーインラブ,=LOVE,96,0.919,0.686,0.0369,0.00198,energetic,pop vocals,guitar,j-idol
Asteapta-Ma Dincolo (De Moarte),Bucovina,148,0.965,0.417,5.9e-06,0.0989,intense,pop vocals,guitar,black-metal
Take Me Up (Lego's Mix),Ralphi Rosario,123,0.651,0.887,0.027,0.105,energetic,pop vocals,electronic,chicago-house
